100	0
200	-977328684
300	1283764697
400	-977328684
500	-1536653220
600	550768183
700	1181469136
800	-1465993026
900	-221836603
1000	0
1100	1547395595
1200	-182228330
1300	-1308696160
1400	1236895093
1500	186733932
1600	-1954657369
1700	1591645408
1800	-1845325812
1900	-1067284530
2000	1536653220
2100	398783225
2200	1949223948
2300	1502582106
2400	-915224843
2500	-847074702
2600	559224877
2700	1361046558
2800	1883055617
2900	587637823
3000	-1882001624
3100	1374876753
3200	1851645585
3300	1237828557
3400	-1611915016
3500	2078201202
3600	826152275
3700	1445334358
3800	-1110702524
3900	1940584887
4000	-1221660855
4100	-137410962
4200	-779459636
4300	162998323
4400	-1943914994
4500	876032878
4600	-405242812
4700	153188873
4800	1323372970
4900	2107527318
